RC_id,ADRF_id,RC_title,ADRF_title,RC_Provider,ADRF_Provider,RC_description,ADRF_description,RC_provider_id,ADRF_provider_id
dataset-410,adrf-000099,Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,LEHD Origin-Destination Employment Statistics (LODES) Census Geography Crosswalk - Kansas,US Census Bureau,US Census Bureau,"LEHD Origin-Destination Employment Statistics (LODES) used by OnTheMap are available for download below. Version 7 of LODES was enumerated by 2010 census blocks. Previous versions of LODES were enumerated with 2000 census blocks. Data files are state-based and organized into three types: Origin-Destination (OD), Residence Area Characteristics (RAC), and Workplace Area Characteristics (WAC), all at census block geographic detail. Data is available for most states for the years 2002-2014.","A lookup table from Census Blocks to multiple other Census geographic entities, as listed in the data dictionary. This is the geographic crosswalk file for Kansas and is in the public schema of the ""appliedda"" database with the name ""lodes_census_geography_crosswalk_ks"".


The primary key/identifier in the Geography Crosswalk is the 2010 Census Tabulation Block Code (tabblk2010). This code does not change between Decennial Censuses and can be used to link to the geocodes in the Origin-Destination/Residential Area Characteristics/Workplace Area Characteristics files as well as other datasets which include fields that resolve to Census geography entities. All other geographic codes in the crosswalk are “current” and represent the most recent definitions of the legal, statistical, or administrative areas as integrated into LODES and OnTheMap.",provider-225,13
dataset-409,adrf-000073,New York City Census Tract to Neighborhood Tabulation Area Equivalency,Chicago 2010 Census Tracts to Chicago Neighborhoods Relationship File,NYC Department of Planning,US Census Bureau,"Neighborhood Tabulation Areas (NTAs) were created to project populations at a small area level, from 2000 to 2030 for PlaNYC, the long-term sustainability plan for New York City. Since population size affects the error associated with population projections, these geographic units needed to have a minimum population, which were determined to be 15,000. This criterion resulted in combinations of neighborhoods that probably would not occur if one were solely designating boundaries of historical neighborhoods. Moreover, the neighborhood names associated with the neighborhood tabulation areas are not intended to be definitive. Another feature of the sustainability plan, was the creation of projections for Public Use Microdata Areas (PUMAs), which are approximations of New York City's Community Districts developed for use with the Census Bureau's Public Use Microdata Samples (PUMS). In order to make the boundaries consistent with PUMAs, NTAs were created using whole census tracts, from the 2010 census, within PUMAs. Since NTAs were not permitted to cross PUMA boundaries, this further restricted our ability to identify what may be thought of as historical neighborhood boundaries. Thus, users need to be cognizant of the reason why NTAs were created and the demographic/geographic constraints inherent in how they were configured. Despite these limitations, NTAs are a valuable summary level for use with both the 2010 Census and the American Community Survey (ACS). Regarding the decennial census, these geographic areas offer a good compromise between the very detailed data for census tracts (2,168) and the broad strokes provided by community districts (59). For the ACS, NTAs offer a statistically reliable alternative to the high sampling error that renders data for most individual census tracts unusable. Note: park-cemetery-etc NTAs, while not contiguous, only represent five unique NTAs; one in each borough. However, each of these five NTAs may appear more than once in this table, as they may fall in more than one PUMA.",Cross walk of 2010 Census Tract IDs to their respective Chicago neighborhoods,provider-152,13
dataset-412,adrf-000071,North American Industry Classification System Definitions,2007 North American Industry Classification System (NAICS) Definitions - 2 to 6 Digit codes,US Census Bureau,United States Office of Management and Budget (OMB),"The North American Industry Classification System (NAICS) is the standard used by Federal statistical agencies in classifying business establishments for the purpose of collecting, analyzing, and publishing statistical data related to the U.S. business economy.","The North American Industry Classification System (NAICS) is the standard used by Federal statistical agencies in classifying business establishments for the purpose of collecting, analyzing, and publishing statistical data related to the U.S. business economy.",provider-225,6
dataset-412,adrf-000080,North American Industry Classification System Definitions,2012 North American Industry Classification System (NAICS) Definitions - 2 to 6 Digit codes,US Census Bureau,United States Office of Management and Budget (OMB),"The North American Industry Classification System (NAICS) is the standard used by Federal statistical agencies in classifying business establishments for the purpose of collecting, analyzing, and publishing statistical data related to the U.S. business economy.","The North American Industry Classification System (NAICS) is the standard used by Federal statistical agencies in classifying business establishments for the purpose of collecting, analyzing, and publishing statistical data related to the U.S. business economy.",provider-225,6
dataset-412,adrf-000105,North American Industry Classification System Definitions,2017 North American Industry Classification System (NAICS) Definitions - 2 to 6 Digit codes,US Census Bureau,United States Office of Management and Budget (OMB),"The North American Industry Classification System (NAICS) is the standard used by Federal statistical agencies in classifying business establishments for the purpose of collecting, analyzing, and publishing statistical data related to the U.S. business economy.","The North American Industry Classification System (NAICS) is the standard used by Federal statistical agencies in classifying business establishments for the purpose of collecting, analyzing, and publishing statistical data related to the U.S. business economy.",provider-225,6
dataset-412,adrf-000106,North American Industry Classification System Definitions,2002 North American Industry Classification System (NAICS) Definitions - 2 to 6 Digit codes,US Census Bureau,United States Office of Management and Budget (OMB),"The North American Industry Classification System (NAICS) is the standard used by Federal statistical agencies in classifying business establishments for the purpose of collecting, analyzing, and publishing statistical data related to the U.S. business economy.","The North American Industry Classification System (NAICS) is the standard used by Federal statistical agencies in classifying business establishments for the purpose of collecting, analyzing, and publishing statistical data related to the U.S. business economy.",provider-225,6
dataset-352,adrf-000014,Chicago Public Schools Data,Chicago Public Schools - School Profile Information SY1617,Chicago Public Schools,Chicago Public Schools,,School profile information for all schools in the Chicago Public School district for the school year 2016-2017.,provider-023,16
dataset-352,adrf-000016,Chicago Public Schools Data,Chicago Public Schools - School Locations SY1617,Chicago Public Schools,Chicago Public Schools,,Locations of educational units in the Chicago Public School District for school year 2016-2017.,provider-023,16
dataset-390,adrf-000017,Chicago Microlending Institute Microloans,Chicago Microlending Institute (CMI) Microloans,Data.gov,City of Chicago,"To improve access to capital, the City of Chicago seeded a $2MM revolving loan fund and partnered with Accion to create the Chicago Microlending Institute (CMI). CMI helped train two new local microlenders, Chicago Neighborhood Initiatives (CNI) and Women’s Business Development Corporation (WBDC), to help connect small businesses around the city to affordable access to capital. These microloans vary in size from $500 to $25,000 and the average loan size is around $10,000. This dataset reflects the lender, location, business industry, and borrower demographics for small businesses supported by the City’s revolving loan fund. Certain data elements could not be included on a per-loan basis for privacy reasons but are summarized in the https://data.cityofchicago.org/id/4s8s-adbr dataset.","To improve access to capital, the City of Chicago seeded a $2MM revolving loan fund and partnered with Accion to create the Chicago Microlending Institute (CMI). CMI helped train two new local microlenders, Chicago Neighborhood Initiatives (CNI) and Women's Business Development Corporation (WBDC), to help connect small businesses around the city to affordable access to capital. These microloans vary in size from $500 to $25,000 and the average loan size is around $10,000. This dataset reflects the lender, location, business industry, and borrower demographics for small businesses supported by the City's revolving loan fund. Certain data elements could not be included on a per-loan basis for privacy reasons but are summarized in the https://data.cityofchicago.org/id/4s8s-adbr dataset.",provider-034,2
dataset-391,adrf-000018,Small Business Improvement Fund Grant Agreements,Small Business Improvement Fund (SBIF) Grant Agreements,Chicago Data Portal,City of Chicago,Small Business Improvement Fund (SBIF) program grants made since 2001. SBIF uses Tax Increment Financing (TIF) revenues to help owners of commercial and industrial properties within specific TIF districts to repair or remodel their facilities for their own business or on behalf of tenants.,Small Business Improvement Fund (SBIF) program grants made since 2001. SBIF uses Tax Increment Financing (TIF) revenues to help owners of commercial and industrial properties within specific TIF districts to repair or remodel their facilities for their own business or on behalf of tenants.,provider-021,2
dataset-401,adrf-000029,Affordable Rental Housing Developments,Affordable Rental Housing Developments,Chicago Data Portal,City of Chicago,"The rental housing developments listed below are among the thousands of affordable units that are supported by City of Chicago programs to maintain affordability in local neighborhoods. The list is updated periodically when construction is completed for new projects or when the compliance period for older projects expire, typically after 30 years. The list is provided as a courtesy to the public. It does not include every City-assisted affordable housing unit that may be available for rent, nor does it include the hundreds of thousands of naturally occurring affordable housing units located throughout Chicago without City subsidies. For information on rents, income requirements and availability for the projects listed, contact each property directly. For information on other affordable rental properties in Chicago and Illinois, call (877) 428-8844, or visit","The affordable rental housing developments listed below are supported by the City of Chicago to maintain affordability standards. For information on rents, income requirements and availability, contact each property directly. For information on other affordable rental properties in Chicago and Illinois.",provider-021,2
dataset-406,adrf-000054,Family and Support Services Delegate Agencies,Family and Support Services Delegate Agencies,Chicago Data Portal,City of Chicago,"A list of the delegate agencies with which the Department of Family and Support Services has contracted to provide services to residents of Chicago. For more information on the department and its services, please see http://www.cityofchicago.org/city/en/depts/fss.html.",A list of the delegate agencies with which the Department of Family and Support Services has contracted to provide services to residents of Chicago.,provider-021,2
dataset-392,adrf-000019,"Public Health Services - Licensed Substance Abuse Treatment Providers in Chicago, 2011","Public Health Services - Licensed Substance Abuse Treatment Providers in Chicago, 2011",Chicago Data Portal,Chicago Department of Public Health Office of Substance Abuse,"Detailed listing of licensed substance abuse treatment providers, treatment modalities, and populations served in Chicago as of April 2011.","Detailed listing of licensed substance abuse treatment providers, treatment modalities, and populations served in Chicago as of April 2011.",provider-021,40
dataset-407,adrf-000056,Substance Abuse Treatment Facilities in Illinois,Substance Abuse Treatment Facilities in Illinois,Chicago Data Portal,Substance Abuse and Mental Health Services Administration (SAMHSA),Location of Substance Abuse treatment facilities in the state of Illinois. Locations are published by the Substance Abuse and Mental Health Services Administration (SAMHSA) through their Behavioral Health Treatment Services Locator. The Behavioral Health Treatment Services Locator is an online source of information for persons seeking treatment facilities in the United States or U.S. Territories for substance abuse/addiction and/or mental health problems.,"Location of Substance Abuse treatment facilities in the state of Illinois. Locations are published by the Substance Abuse and Mental Health Services Administration (SAMHSA) through their Behavioral Health Treatment Services Locator. The Behavioral Health Treatment Services Locator is an online source of information for persons seeking treatment facilities in the United States or U.S. Territories for substance abuse/addiction and/or mental health problems.

The Behavioral Health Treatment Services Locator is a product of SAMHSA's Center for Behavioral Health Statistics and Quality (CBHSQ). The Locator is compiled from responses to CBHSQ's annual surveys of treatment facilities (the National Survey of Substance Abuse Treatment Services and the National Mental Health Services Survey).

In response to the growing demand for treatment services, and to increase the visibility of treatment service providers, SAMHSA is sharing facility contact information from its Behavioral Health Treatment Services Locator with commercially available search engines to help facilitate greater access to mental health and substance use treatment services. Facility contact information only includes the facility's name, location address, phone number, and web site. ",provider-021,23
dataset-418,adrf-000116,City of Chicago Crimes,City of Chicago Crimes - 2001 to Present,Chicago Data Portal,Chicago Police Department,"This dataset reflects reported incidents of crime (with the exception of murders where data exists for each victim) that occurred in the City of Chicago from 2001 to present, minus the most recent seven days. Data is extracted from the Chicago Police Department's CLEAR (Citizen Law Enforcement Analysis and Reporting) system. In order to protect the privacy of crime victims, addresses are shown at the block level only and specific locations are not identified. Should you have questions about this dataset, you may contact the Research & Development Division of the Chicago Police Department at PSITAdministration@ChicagoPolice.org.","This dataset reflects reported incidents of crime (with the exception of murders where data exists for each victim) that occurred in the City of Chicago from 2001 to present, minus the most recent seven days. Data is extracted from the Chicago Police Department's CLEAR (Citizen Law Enforcement Analysis and Reporting) system. In order to protect the privacy of crime victims, addresses are shown at the block level only and specific locations are not identified. Should you have questions about this dataset, you may contact the Research & Development Division of the Chicago Police Department at PSITAdministration@ChicagoPolice.org. Disclaimer: These crimes may be based upon preliminary information supplied to the Police Department by the reporting parties that have not been verified. The preliminary crime classifications may be changed at a later date based upon additional investigation and there is always the possibility of mechanical or human error. Therefore, the Chicago Police Department does not guarantee (either expressed or implied) the accuracy, completeness, timeliness, or correct sequencing of the information and the information should not be used for comparison purposes over time. The Chicago Police Department will not be responsible for any error or omission, or for the use of, or the results obtained from the use of this information. All data visualizations on maps should be considered approximate and attempts to derive specific addresses are strictly prohibited. The Chicago Police Department is not responsible for the content of any off-site pages that are referenced by or that reference this web page other than an official City of Chicago or Chicago Police Department web page. The user specifically acknowledges that the Chicago Police Department is not responsible for any defamatory, offensive, misleading, or illegal conduct of other users, links, or third parties and that the risk of injury from the foregoing rests entirely with the user. The unauthorized use of the words ""Chicago Police Department,"" ""Chicago Police,"" or any colorable imitation of these words or the unauthorized use of the Chicago Police Department logo is unlawful. This web page does not, in any way, authorize such use. Data are updated daily. The dataset contains more than 65,000 records/rows of data and cannot be viewed in full in Microsoft Excel. Therefore, when downloading the file, select CSV from the Export menu. Open the file in an ASCII text editor, such as Wordpad, to view and search. To access a list of Chicago Police Department - Illinois Uniform Crime Reporting (IUCR) codes, go to http://data.cityofchicago.org/Public-Safety/Chicago-Police-Department-Illinois-Uniform-Crime-R/c7ck-438e.  A lookup for these codes is also available in the documentation folder of this dataset.",provider-021,9
dataset-423,adrf-000058,Chicago Police Department Adult Arrestees,Chicago Police Department Adult Arrestees - 1999-2016,Chicago Police Department,Chicago Police Department,"This is Chicago Police Department official website for searching arrest records. This site is made available for the use and benefit of law enforcement partners, news media, and members of the public to search Chicago Police public arrest records including Name, Mugshot, Age, Address, Central Booking Number, Charges, Arrest Date/Time, Arrest Location, Date Time Released from Chicago Police Facility, Bond Type/Amount/Date, and the geographic police area/district/beat.","Dataset includes information on adults arrested by the Chicago Police Department (CPD), as documented in the CPD electronic arrest application. The data is used for tracking individual arrestees during the arrest process, providing information used in court cases, and summarizing CPD arrest activity. ",provider-022,9
dataset-423,adrf-000059,Chicago Police Department Adult Arrestees,Chicago Police Department Adult Arrests - 1999-2016 - Charge File,Chicago Police Department,Chicago Police Department,"This is Chicago Police Department official website for searching arrest records. This site is made available for the use and benefit of law enforcement partners, news media, and members of the public to search Chicago Police public arrest records including Name, Mugshot, Age, Address, Central Booking Number, Charges, Arrest Date/Time, Arrest Location, Date Time Released from Chicago Police Facility, Bond Type/Amount/Date, and the geographic police area/district/beat.","Dataset includes information on adults arrested by the Chicago Police Department (CPD), as documented in the CPD electronic arrest application. The data is used for tracking individual arrestees during the arrest process, providing information used in court cases, and summarizing CPD arrest activity. ",provider-022,9
dataset-393,adrf-000020,Selected Facilities and Program Sites,Selected Facilities and Program Sites,NYC Open Data,Department of City Planning (DCP),"Data providing the location, type and capacity of public and private community facilities in New York City, including schools, parks, libraries, public safety, day care, foster care, special needs housing, health and mental health facilities and programs. Additional data included to provide location of transportation and waste management facilities.","Data providing the location, type and capacity of public and private community facilities in New York City, including schools, parks, libraries, public safety, day care, foster care, special needs housing, health and mental health facilities and programs. Additional data included to provide location of transportation and waste management facilities.",provider-153,27
dataset-394,adrf-000021,Primary Land Use Tax Lot Output,Primary Land Use Tax Lot Output (PLUTO) Release 16v2,NYC Open Data,Department of City Planning (DCP),Extensive land use and geographic data at the tax lot level in comma–separated values (CSV) file format. The PLUTO files contain more than seventy fields derived from data maintained by city agencies.,Extensive land use and geographic data at the tax lot level in comma-separated values (CSV) file format. The PLUTO files contain more than seventy fields derived from data maintained by city agencies.,provider-153,27
dataset-409,adrf-000065,New York City Census Tract to Neighborhood Tabulation Area Equivalency,New York City 2010 Census Tract to 2010 Neighborhood Tabulation Area Equivalency,NYC Department of Planning,Department of City Planning (DCP),"Neighborhood Tabulation Areas (NTAs) were created to project populations at a small area level, from 2000 to 2030 for PlaNYC, the long-term sustainability plan for New York City. Since population size affects the error associated with population projections, these geographic units needed to have a minimum population, which were determined to be 15,000. This criterion resulted in combinations of neighborhoods that probably would not occur if one were solely designating boundaries of historical neighborhoods. Moreover, the neighborhood names associated with the neighborhood tabulation areas are not intended to be definitive. Another feature of the sustainability plan, was the creation of projections for Public Use Microdata Areas (PUMAs), which are approximations of New York City's Community Districts developed for use with the Census Bureau's Public Use Microdata Samples (PUMS). In order to make the boundaries consistent with PUMAs, NTAs were created using whole census tracts, from the 2010 census, within PUMAs. Since NTAs were not permitted to cross PUMA boundaries, this further restricted our ability to identify what may be thought of as historical neighborhood boundaries. Thus, users need to be cognizant of the reason why NTAs were created and the demographic/geographic constraints inherent in how they were configured. Despite these limitations, NTAs are a valuable summary level for use with both the 2010 Census and the American Community Survey (ACS). Regarding the decennial census, these geographic areas offer a good compromise between the very detailed data for census tracts (2,168) and the broad strokes provided by community districts (59). For the ACS, NTAs offer a statistically reliable alternative to the high sampling error that renders data for most individual census tracts unusable. Note: park-cemetery-etc NTAs, while not contiguous, only represent five unique NTAs; one in each borough. However, each of these five NTAs may appear more than once in this table, as they may fall in more than one PUMA.","Neighborhood Tabulation Areas (NTAs) were created to project populations at a small area level, from 2000 to 2030 for PlaNYC, the long-term sustainability plan for New York City. Since population size affects the error associated with population projections, these geographic units needed to have a minimum population, which were determined to be 15,000. This criterion resulted in combinations of neighborhoods that probably would not occur if one were solely designating boundaries of historical neighborhoods. Moreover, the neighborhood names associated with the neighborhood tabulation areas are not intended to be definitive.


Another feature of the sustainability plan, was the creation of projections for Public Use Microdata Areas (PUMAs), which are approximations of New York City's Community Districts developed for use with the Census Bureau's Public Use Microdata Samples (PUMS). In order to make the boundaries consistent with PUMAs, NTAs were created using whole census tracts, from the 2010 census, within PUMAs. Since NTAs were not permitted to cross PUMA boundaries, this further restricted our ability to identify what may be thought of as historical neighborhood boundaries.


Thus, users need to be cognizant of the reason why NTAs were created and the demographic/geographic constraints inherent in how they were configured. Despite these limitations, NTAs are a valuable summary level for use with both the 2010 Census and the American Community Survey (ACS). Regarding the decennial census, these geographic areas offer a good compromise between the very detailed data for census tracts (2,168) and the broad strokes provided by community districts (59). For the ACS, NTAs offer a statistically reliable alternative to the high sampling error that renders data for most individual census tracts unusable.


Note: ""park-cemetery-etc"" NTAs, while not contiguous, only represent five unique NTAs; one in each borough. However, each of these five NTAs may appear more than once in this table, as they may fall in more than one PUMA.",provider-152,27
dataset-403,adrf-000031,Directory of NYCHA Community Facilities,Directory of NYCHA Community Facilities,NYC Open Data,New York City Housing Authority (NYCHA),"Community Facilities (Centers) that are on NYCHA property with programs either sponsored by NYCHA or by a non-NYCHA entity. All programs are open to the public. The file contains development name, address, city, state, zipcode, telephone #, sponsoring organization and contact person.","Community Facilities (Centers) that are on NYCHA property with programs either sponsored by NYCHA or by a non-NYCHA entity. All programs are open to the public. The file contains development name, address, city, state, zipcode, telephone #, sponsoring organization and contact person.",provider-153,33
dataset-419,adrf-000038,NYPD Arrest Data,NYPD Arrests 2011,NYC Open Data,New York Police Department (NYPD),"Data from NYPD arrest reports. Records include: an arrest ID obfuscated by a confidential key; date of arrest; arrest NYS law code; description of law code; level of offense; person ID modified by a confidential key; age, sex, race of arrestee; NYC borough of Arrestee residence; precinct of arrestee residence; coordinates of arrest location generalized to nearest street segment; census tract for arrest incident","Data from NYPD arrest reports for 2011. Records include: an arrest ID obfuscated by a confidential key; date of arrest; arrest NYS law code; description of law code; level of offense; person ID modified by a confidential key; age, sex, race of arrestee; NYC borough of Arrestee residence; precinct of arrestee residence; coordinates of arrest location generalized to nearest street segment; census tract for arrest incident",provider-153,14
dataset-419,adrf-000039,NYPD Arrest Data,NYPD Arrests 2012,NYC Open Data,New York Police Department (NYPD),"Data from NYPD arrest reports. Records include: an arrest ID obfuscated by a confidential key; date of arrest; arrest NYS law code; description of law code; level of offense; person ID modified by a confidential key; age, sex, race of arrestee; NYC borough of Arrestee residence; precinct of arrestee residence; coordinates of arrest location generalized to nearest street segment; census tract for arrest incident","Data from NYPD arrest reports for 2012. Records include: an arrest ID obfuscated by a confidential key; date of arrest; arrest NYS law code; description of law code; level of offense; person ID modified by a confidential key; age, sex, race of arrestee; NYC borough of Arrestee residence; precinct of arrestee residence; coordinates of arrest location generalized to nearest street segment; census tract for arrest incident",provider-153,14
dataset-419,adrf-000040,NYPD Arrest Data,NYPD Arrests 2013,NYC Open Data,New York Police Department (NYPD),"Data from NYPD arrest reports. Records include: an arrest ID obfuscated by a confidential key; date of arrest; arrest NYS law code; description of law code; level of offense; person ID modified by a confidential key; age, sex, race of arrestee; NYC borough of Arrestee residence; precinct of arrestee residence; coordinates of arrest location generalized to nearest street segment; census tract for arrest incident","Data from NYPD arrest reports for 2013. Records include: an arrest ID obfuscated by a confidential key; date of arrest; arrest NYS law code; description of law code; level of offense; person ID modified by a confidential key; age, sex, race of arrestee; NYC borough of Arrestee residence; precinct of arrestee residence; coordinates of arrest location generalized to nearest street segment; census tract for arrest incident",provider-153,14
dataset-419,adrf-000041,NYPD Arrest Data,NYPD Arrests 2014,NYC Open Data,New York Police Department (NYPD),"Data from NYPD arrest reports. Records include: an arrest ID obfuscated by a confidential key; date of arrest; arrest NYS law code; description of law code; level of offense; person ID modified by a confidential key; age, sex, race of arrestee; NYC borough of Arrestee residence; precinct of arrestee residence; coordinates of arrest location generalized to nearest street segment; census tract for arrest incident","Data from NYPD arrest reports for 2014. Records include: an arrest ID obfuscated by a confidential key; date of arrest; arrest NYS law code; description of law code; level of offense; person ID modified by a confidential key; age, sex, race of arrestee; NYC borough of Arrestee residence; precinct of arrestee residence; coordinates of arrest location generalized to nearest street segment; census tract for arrest incident",provider-153,14
dataset-419,adrf-000042,NYPD Arrest Data,NYPD Arrests 2015,NYC Open Data,New York Police Department (NYPD),"Data from NYPD arrest reports. Records include: an arrest ID obfuscated by a confidential key; date of arrest; arrest NYS law code; description of law code; level of offense; person ID modified by a confidential key; age, sex, race of arrestee; NYC borough of Arrestee residence; precinct of arrestee residence; coordinates of arrest location generalized to nearest street segment; census tract for arrest incident","Data from NYPD arrest reports for 2015. Records include: an arrest ID obfuscated by a confidential key; date of arrest; arrest NYS law code; description of law code; level of offense; person ID modified by a confidential key; age, sex, race of arrestee; NYC borough of Arrestee residence; precinct of arrestee residence; coordinates of arrest location generalized to nearest street segment; census tract for arrest incident",provider-153,14
dataset-419,adrf-000043,NYPD Arrest Data,NYPD Arrests 2016,NYC Open Data,New York Police Department (NYPD),"Data from NYPD arrest reports. Records include: an arrest ID obfuscated by a confidential key; date of arrest; arrest NYS law code; description of law code; level of offense; person ID modified by a confidential key; age, sex, race of arrestee; NYC borough of Arrestee residence; precinct of arrestee residence; coordinates of arrest location generalized to nearest street segment; census tract for arrest incident","Data from NYPD arrest reports for 2016. Records include: an arrest ID obfuscated by a confidential key; date of arrest; arrest NYS law code; description of law code; level of offense; person ID modified by a confidential key; age, sex, race of arrestee; NYC borough of Arrestee residence; precinct of arrestee residence; coordinates of arrest location generalized to nearest street segment; census tract for arrest incident",provider-153,14
dataset-395,adrf-000022,Check Cashing Locations,Check Cashing Locations,Open Data DC,"Department of Insurance, Securities, and Banking (DISB)","CheckCasher locations without payday lending authority. The dataset contains locations and attributes of checkcashers, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. A database provided by the Department of Insurance, Securities, and Banking DISB) identified CheckCasher locations. METADATA CONTENT IS IN PROCESS OF VALIDATION AND SUBJECT TO CHANGE.","CheckCasher locations without payday lending authority. The dataset contains locations and attributes of checkcashers, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. A database provided by the Department of Insurance, Securities, and Banking DISB) identified Check Casher locations. All DC GIS data is stored and exported in Maryland State Plane coordinates NAD 83 meters.",provider-184,17
dataset-396,adrf-000023,Human Services Locations,Human Service Locations,Open Data DC,DC Department of Human Services (DHS),"Human Services Facilities - DC Answers Please Program. The dataset contains locations and attributes of Human Services Facilities, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. A database provided by the DC Department of Human Services (DHS) identified Human Services Facilities and DC GIS staff geo-processed the data. All DC GIS data is stored and exported in Maryland State Plane coordinates NAD 83 meters.","Human Services Facilities - DC Answers Please Program. The dataset contains locations and attributes of Human Services Facilities, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. A database provided by the DC Department of Human Services (DHS) identified Human Services Facilities and DC GIS staff geo-processed the data. All DC GIS data is stored and exported in Maryland State Plane coordinates NAD 83 meters. METADATA CONTENT IS IN PROCESS OF VALIDATION AND SUBJECT TO CHANGE.",provider-184,34
dataset-397,adrf-000024,Homeless Shelter Locations,Homeless Shelter Locations,Open Data DC,DC Department of Human Services (DHS),"The dataset contains locations and attributes of Homeless Shelters, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. A database provided by the Department of Human Services identified Homeless Shelter locations. METADATA CONTENT IS IN PROCESS OF VALIDATION AND SUBJECT TO CHANGE.","The dataset contains locations and attributes of Homeless Shelters, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. A database provided by the Department of Human Services identified Homeless Shelter locations.",provider-184,34
dataset-398,adrf-000025,Homeless Service Facilities,Homeless Service Facilities,Open Data DC,"Answers Please, InterFaith Conference of Metropolitan Washington, Metropolitan Washington Council of Governments, United Way of The National Capital Area","Homeless Facility and Service locations. The dataset contains locations and attributes of Homeless Facility and Service locations, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. A database provided by Answers Please and The InterFaith Conference of Metropolitan Washington identified emergency food, shelter and health care locations. METADATA CONTENT IS IN PROCESS OF VALIDATION AND SUBJECT TO CHANGE.","Homeless Facility and Service locations. The dataset contains locations and attributes of Homeless Facility and Service locations, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. A database provided by Answers Please and The InterFaith Conference of Metropolitan Washington identified emergency food, shelter and health care locations. All DC GIS data is stored and exported in Maryland State Plane coordinates NAD 83 meters.",provider-184,26
dataset-399,adrf-000027,Public Schools,Public Schools,Open Data DC,DC Public Schools,"DC public schools. This dataset contains points representing public schools. It was created for the D.C. public schools and later added to the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO). This dataset includes all identifiable DCPS public elementary, middle, education campus's, senior high, and special education schools as well as learning centers. Does not include private or charter schools. School locations were identified from a database from the DC Public Schools, Office of Facilities Management. Current for the 2018-2019 school year. METADATA CONTENT IS IN PROCESS OF VALIDATION AND SUBJECT TO CHANGE.","School Ground locations. The dataset contains locations and attributes of schopol grounda, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. Originally created by Baker, DCPS enhanced and corrected this file to approximate school ground locations. All DC GIS data is stored and exported in Maryland State Plane coordinates NAD 83 meters.",provider-184,12
dataset-400,adrf-000028,Charter Schools,Charter Schools,Open Data DC,DC Public Charter School Board,"Charter Schools. This layer contains points representing locations for charter schools, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. School locations were identified from public records and heads-up digitized from the 2010 orthophotographs. METADATA CONTENT IS IN PROCESS OF VALIDATION AND SUBJECT TO CHANGE.","Charter Schools. This layer contains points representing locations for charter schools, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. School locations were identified from public records and heads-up digitized from the 2010 orthophotographs. All DC GIS data is stored and exported in Maryland State Plane coordinates NAD 83 meters. METADATA CONTENT IS IN PROCESS OF VALIDATION AND SUBJECT TO CHANGE.",provider-184,22
dataset-404,adrf-000032,Illinois Department of Human Services Office Locator,Illinois Department of Human Services Office Locator,State of Illinois Data Portal,Illinois Department of Human Services,Listing of Department of Human Services and Service Provider Office Locations,Listing of Department of Human Services and Service Provider Office Locations,provider-203,38
dataset-404,adrf-000062,Illinois Department of Human Services Office Locator,Illinois Department of Human Services (IDHS) Head of Household Files,State of Illinois Data Portal,"Illinois Department of Human Services (IDHS), Chapin Hall at the University of Chicago",Listing of Department of Human Services and Service Provider Office Locations,"As an introduction to the data provided by the Illinois Department of Human Services, we also provide a subset filtered to focus just on the individuals who are the heads of households, or grantees.  For this data, we define the head of household as an individual with relation type of 82 in the MemberRelationship table (“Grantee”).  There are other definitions one could use based on relation types that designate a person as head of household for only certain types of assistance or in certain circumstances, but the Grantee type was chosen because it is the simplest and least ambiguous.


You will find the complete data in the class database under the tables: idhs.hh_indcase_spells, idhs.hh_member
",provider-203,1
